SampleType_GrowthCondtion,SampleType,Bacteroidota,Myxococcota,Planctomycetota,Chloroflexi,Acidobacteriota,Firmicutes,Gemmatimonadota,Crenarchaeota,Nitrososphaeraceae
Soil Within Row_Full N,Soil Within Row,0.065974831,0.051042449,0.041406837,0.053258828,0.107315928,0.024117205,0.024783997,0.066528926,0.066528926
Soil Within Row_Low N,Soil Within Row,0.0685131,0.047100228,0.022033144,0.067218619,0.064157711,0.025741293,0.023381562,0.032766548,0.032766548
Rhizosphere_Full N,Rhizosphere,0.036989521,0.017471354,0.011428851,0.01454314,0.03287631,0.010890216,0.007325433,0.011683479,0.011683479
Rhizosphere_Low N,Rhizosphere,0.087764065,0.06927737,0.033527747,0.043274488,0.128174417,0.013070874,0.039637904,0.039394886,0.039394886
Rhizosphere_Full N,Rhizosphere,0.088072175,0.046506148,0.024338722,0.037837792,0.119640137,0.025230805,0.027545172,0.013162435,0.013162435
Rhizosphere_Low N,Rhizosphere,0.058906932,0.049435696,0.025842675,0.038943607,0.094977031,0.023006976,0.019188234,0.007939959,0.007939959
Rhizosphere_Full N,Rhizosphere,0.07526197,0.023180687,0.010664042,0.018201818,0.039286748,0.012250333,0.008776704,0.030672147,0.030672147
Rhizosphere_Low N,Rhizosphere,0.096484139,0.074444296,0.029368149,0.04172584,0.114216444,0.018250151,0.03805384,0.036570917,0.036570917
Rhizosphere_Full N,Rhizosphere,0.090375332,0.0577086,0.02655896,0.036942173,0.101270811,0.023899123,0.032587922,0.019663087,0.019663087
Rhizosphere_Low N,Rhizosphere,0.040744674,0.02609269,0.010571522,0.017623484,0.033675584,0.016475988,0.011586285,0.008426389,0.008426389
Rhizosphere_Full N,Rhizosphere,0.090135336,0.040506923,0.026269264,0.037252601,0.088508175,0.037675037,0.016678401,0.040710318,0.040710318
Rhizosphere_Low N,Rhizosphere,0.036023256,0.027801958,0.020343682,0.028908878,0.056323951,0.021085211,0.009199256,0.027372086,0.027372086
Rhizosphere_Full N,Rhizosphere,0.070074661,0.036423892,0.017613896,0.031700442,0.062471431,0.031273808,0.015945452,0.024820966,0.024820966
Rhizosphere_Low N,Rhizosphere,0.019719166,0.017288255,0.012458419,0.017480169,0.043756397,0.012714304,0.006828941,0.034160696,0.034160696
Rhizosphere_Full N,Rhizosphere,0.100280258,0.039653262,0.014325751,0.033265984,0.087544809,0.016867627,0.031141237,0.031727824,0.031727824
Rhizosphere_Low N,Rhizosphere,0.037414624,0.040818063,0.023406378,0.02877453,0.071356193,0.021410725,0.009320782,0.029540304,0.029540304
Rhizosphere_Full N,Rhizosphere,0.095828451,0.046365475,0.019241821,0.032512558,0.092044276,0.02783272,0.022473671,0.04205883,0.04205883
Rhizosphere_Low N,Rhizosphere,0.021123808,0.01479478,0.008330516,0.0134289,0.031023058,0.006815877,0.006775306,0.016512273,0.016512273
Rhizosphere_Full N,Rhizosphere,0.019257577,0.006621505,0.004444357,0.005810948,0.013262589,0.005110032,0.002834991,0.004718459,0.004718459
Rhizosphere_Low N,Rhizosphere,0.013885596,0.011176212,0.010448064,0.015900701,0.027965929,0.010244861,0.005588106,0.010558133,0.010558133
Rhizosphere_Full N,Rhizosphere,0.077404826,0.041389966,0.016914327,0.029637057,0.065865606,0.036623052,0.020070353,0.01306792,0.01306792
Rhizosphere_Low N,Rhizosphere,0.069370074,0.047100255,0.020038718,0.035299448,0.088433973,0.025503199,0.028118736,0.019462064,0.019462064
Rhizosphere_Full N,Rhizosphere,0.053571429,0.04532967,0.016483516,0.023351648,0.057692308,0.021978022,0.017857143,0.006868132,0.006868132
Rhizosphere_Low N,Rhizosphere,0.074520362,0.052389914,0.033396065,0.047493335,0.131432206,0.022365693,0.030651541,0.01799188,0.01799188
Rhizosphere_Full N,Rhizosphere,0.080859157,0.032569757,0.022754528,0.023067698,0.077620513,0.030484498,0.017690328,0.044737586,0.044737586
Rhizosphere_Low N,Rhizosphere,0.040649817,0.035972006,0.017732168,0.02862893,0.072107191,0.068063966,0.018312362,0.017949741,0.017949741
Rhizosphere_Full N,Rhizosphere,0.126919787,0.039009334,0.018891079,0.031249613,0.085356935,0.021308244,0.026092993,0.025572372,0.025572372
Rhizosphere_Low N,Rhizosphere,0.06397264,0.038889319,0.025160828,0.0461847,0.111349016,0.021537359,0.022118664,0.032679042,0.032679042
Rhizosphere_Full N,Rhizosphere,0.033268998,0.02589816,0.018481504,0.025972613,0.035038687,0.014363685,0.007410929,0.023235036,0.023235036
Rhizosphere_Low N,Rhizosphere,0.079371608,0.034860508,0.033857328,0.046216506,0.12629034,0.017234634,0.026253223,0.026584272,0.026584272
Rhizosphere_Full N,Rhizosphere,0.137554034,0.056987874,0.025950149,0.032167518,0.073176893,0.015739909,0.02991495,0.032153483,0.032153483
Rhizosphere_Low N,Rhizosphere,0.098265292,0.060681189,0.033387349,0.042527611,0.093560745,0.020244487,0.031162023,0.028421438,0.028421438
Rhizosphere_Full N,Rhizosphere,0.111787144,0.028742579,0.018790125,0.029655895,0.074569533,0.014572756,0.012383485,0.038829344,0.038829344
Rhizosphere_Low N,Rhizosphere,0.035907356,0.02982069,0.016461792,0.023734025,0.044529659,0.018050111,0.012371871,0.018458536,0.018458536
Rhizosphere_Full N,Rhizosphere,0.065091919,0.049536479,0.027643639,0.044351333,0.062117006,0.021714765,0.017451422,0.036945477,0.036945477
Rhizosphere_Low N,Rhizosphere,0.067380046,0.058549487,0.031626239,0.05455471,0.125387305,0.015580737,0.041264607,0.044130666,0.0441196
Rhizosphere_Full N,Rhizosphere,0.097400296,0.045825011,0.020037369,0.037916371,0.070614007,0.0154146,0.022646737,0.027575543,0.027575543
Rhizosphere_Low N,Rhizosphere,0.082204256,0.055704245,0.027111763,0.04361518,0.099194294,0.017441901,0.030080153,0.030580678,0.030580678
Rhizosphere_Full N,Rhizosphere,0.082293758,0.027749042,0.01234305,0.025730745,0.051562912,0.01132883,0.012870444,0.006866265,0.006866265
Rhizosphere_Low N,Rhizosphere,0.102830057,0.057099481,0.027060541,0.035659651,0.08650102,0.013281105,0.029888281,0.01155433,0.01155433
Rhizosphere_Full N,Rhizosphere,0.115513126,0.049490657,0.02398277,0.03342453,0.078188486,0.021235229,0.029314861,0.04033995,0.04033995
Rhizosphere_Low N,Rhizosphere,0.065686304,0.040920792,0.024509079,0.031945636,0.076397313,0.032705072,0.022033514,0.051266878,0.051266878
Rhizosphere_Full N,Rhizosphere,0.060311086,0.037444435,0.026827496,0.051412858,0.093966548,0.022561971,0.022397913,0.026889995,0.026889995
Rhizosphere_Low N,Rhizosphere,0.069032392,0.047590512,0.029373631,0.051905037,0.107318349,0.024645087,0.024808516,0.027499646,0.027499646
Rhizosphere_Full N,Rhizosphere,0.125059876,0.038428076,0.015924532,0.028906594,0.077931473,0.024126301,0.019042964,0.043501637,0.043501637
Rhizosphere_Low N,Rhizosphere,0.092793537,0.058176564,0.030341452,0.03737886,0.118721865,0.020404553,0.035648995,0.040396297,0.040396297
Rhizosphere_Full N,Rhizosphere,0.067305048,0.027647328,0.014414506,0.027983497,0.045005857,0.018642082,0.013793103,0.018071614,0.018071614
Rhizosphere_Low N,Rhizosphere,0.077458987,0.040445255,0.026972152,0.036520735,0.118410213,0.099124929,0.022898436,0.052523693,0.052517206
Rhizosphere_Full N,Rhizosphere,0.093464999,0.03639356,0.016445781,0.025095593,0.060177451,0.013847125,0.025305961,0.036294564,0.036294564
Rhizosphere_Low N,Rhizosphere,0.03370376,0.017590196,0.011333536,0.016014614,0.029289085,0.009278429,0.007740904,0.01140204,0.01140204
Rhizosphere_Full N,Rhizosphere,0.01005646,0.003803933,0.004784868,0.005264104,0.01082773,0.002238929,0.002471059,0.004919653,0.004919653
Rhizosphere_Low N,Rhizosphere,0.095301034,0.050655089,0.025535021,0.051638683,0.097944442,0.01205671,0.031659431,0.020186729,0.020186729
Rhizosphere_Full N,Rhizosphere,0.14759716,0.02539084,0.021964109,0.03348288,0.08656281,0.009715953,0.017807993,0.015757459,0.015757459
Rhizosphere_Low N,Rhizosphere,0.067609807,0.061177661,0.027526334,0.042531664,0.104883734,0.013975464,0.033813938,0.035033516,0.035033516
Rhizosphere_Full N,Rhizosphere,0.123629645,0.051119186,0.016047272,0.022002015,0.069685773,0.02163557,0.023574679,0.006672367,0.006672367
Rhizosphere_Low N,Rhizosphere,0.089640503,0.061595788,0.027531794,0.043160801,0.099370917,0.027863684,0.0291309,0.015855296,0.015855296
Rhizosphere_Full N,Rhizosphere,0.028776826,0.014282225,0.012328374,0.011903624,0.026684931,0.008909135,0.005935884,0.01543967,0.01543967
Rhizosphere_Low N,Rhizosphere,0.058258215,0.02784137,0.019208757,0.026052845,0.053846521,0.019363762,0.014188964,0.022571183,0.022571183
Rhizosphere_Full N,Rhizosphere,0.086390453,0.025272596,0.017024199,0.026523654,0.075480492,0.021826054,0.021856717,0.034790448,0.034790448
Rhizosphere_Low N,Rhizosphere,0.029354176,0.019564145,0.009471657,0.015282001,0.033739792,0.01070536,0.006916697,0.023583629,0.023583629
Rhizosphere_Full N,Rhizosphere,0.022990224,0.012204994,0.011407933,0.010897316,0.022056168,0.008344231,0.003076157,0.058172987,0.058172987
Rhizosphere_Low N,Rhizosphere,0.027572575,0.01907554,0.008596416,0.013835978,0.027936971,0.010203068,0.010606111,0.0125882,0.0125882
Rhizosphere_Full N,Rhizosphere,0.093809445,0.047431974,0.02429493,0.041539161,0.114465305,0.016644612,0.036059879,0.050946985,0.050946985
Rhizosphere_Low N,Rhizosphere,0.094046125,0.05556376,0.037374782,0.060966305,0.123975485,0.035442664,0.029474021,0.038986931,0.038986931
Rhizosphere_Full N,Rhizosphere,0.087779991,0.035343996,0.025140124,0.040548586,0.088806537,0.01842651,0.026659412,0.033444885,0.033444885
Rhizosphere_Low N,Rhizosphere,0.027456726,0.024241684,0.0120191,0.02048402,0.044332302,0.009319551,0.013117912,0.0310923,0.0310923
Rhizosphere_Full N,Rhizosphere,0.034152307,0.02661559,0.026852672,0.030932981,0.067356285,0.01647097,0.011105427,0.021811557,0.021811557
Rhizosphere_Low N,Rhizosphere,0.022021995,0.017829922,0.015752033,0.018573969,0.027420877,0.011804951,0.0085384,0.01439097,0.01439097
Rhizosphere_Full N,Rhizosphere,0.018083756,0.019520752,0.013492834,0.018158405,0.038108391,0.008789937,0.008174082,0.021536279,0.021536279
Rhizosphere_Low N,Rhizosphere,0.03233839,0.0306175,0.025435274,0.030604463,0.065530705,0.013649786,0.013402082,0.020722383,0.020722383
Rhizosphere_Full N,Rhizosphere,0.017955104,0.009177827,0.004771773,0.009613208,0.018164086,0.010483969,0.00602567,0.003012835,0.003012835
Rhizosphere_Low N,Rhizosphere,0.033371781,0.01067897,0.007309392,0.011301046,0.0213061,0.008372105,0.007762989,0.002514224,0.002514224
Rhizosphere_Full N,Rhizosphere,0.173660048,0.018880036,0.012384355,0.014693775,0.02435706,0.009293499,0.006788719,0.015893836,0.015893836
Rhizosphere_Low N,Rhizosphere,0.034200852,0.023471845,0.020155451,0.025785608,0.057638419,0.013419828,0.011303163,0.02372036,0.02372036
Rhizosphere_Full N,Rhizosphere,0.014024044,0.016034973,0.008568306,0.01688306,0.026850273,0.017285246,0.008419672,0.016568306,0.016568306
Rhizosphere_Low N,Rhizosphere,0.021270518,0.019688413,0.010876969,0.0188644,0.045397614,0.024731372,0.010481443,0.021973676,0.021973676
Rhizosphere_Full N,Rhizosphere,0.05384541,0.027573352,0.019106152,0.028672417,0.080442791,0.04035768,0.017514705,0.025260918,0.025260918
Rhizosphere_Low N,Rhizosphere,0.027435073,0.038280412,0.019760339,0.029467991,0.05844174,0.048603534,0.014174477,0.047820208,0.047820208
Rhizosphere_Full N,Rhizosphere,0.040934892,0.033737255,0.023754871,0.039929536,0.055285681,0.016726276,0.011548248,0.048488407,0.048488407
Rhizosphere_Low N,Rhizosphere,0.076155841,0.048840816,0.029454234,0.032663048,0.114193652,0.038519133,0.020910768,0.074578175,0.074578175
Rhizosphere_Full N,Rhizosphere,0.021400778,0.011673152,0,0.011673152,0.031128405,0.007782101,0.005836576,0.013618677,0.013618677
Rhizosphere_Low N,Rhizosphere,0.050713833,0.037383496,0.021854129,0.03048685,0.078913149,0.020138478,0.022575792,0.039705071,0.039705071
Rhizosphere_Full N,Rhizosphere,0.102164547,0.027462543,0.020154055,0.027639684,0.109884458,0.02074262,0.02103976,0.02323402,0.02323402
Rhizosphere_Low N,Rhizosphere,0.023261367,0.012488062,0.017494863,0.019173444,0.042883397,0.006793911,0.007763436,0.011287008,0.011287008
Rhizosphere_Full N,Rhizosphere,0.087688614,0.038496739,0.01259266,0.022890083,0.061650367,0.01519936,0.01941608,0.008840737,0.008840737
Rhizosphere_Low N,Rhizosphere,0.077860497,0.043847268,0.015027814,0.026836041,0.050572422,0.021033404,0.01974188,0.008865395,0.008865395
Rhizosphere_Full N,Rhizosphere,0.124370594,0.043303122,0.008559919,0.022155086,0.06998993,0.006042296,0.025679758,0.018630413,0.018630413
Rhizosphere_Low N,Rhizosphere,0.114290522,0.064543907,0.01997387,0.028258374,0.073343099,0.032078945,0.022656188,0.012402011,0.012402011
Rhizosphere_Full N,Rhizosphere,0.055159531,0.046098682,0.018916133,0.024820715,0.06243827,0.019667626,0.017241379,0.011637394,0.011637394
Rhizosphere_Low N,Rhizosphere,0.034005027,0.018002661,0.009662298,0.014576068,0.027882383,0.011462564,0.007888123,0.007348912,0.007348912
Rhizosphere_Full N,Rhizosphere,0.016652649,0.010092515,0.005719092,0.013288478,0.026408747,0.004205214,0.003868797,0.009251472,0.009251472
Rhizosphere_Low N,Rhizosphere,0.054278315,0.038571464,0.026032805,0.052132662,0.130599861,0.023392646,0.026393208,0.03802667,0.03802667
Rhizosphere_Full N,Rhizosphere,0.080595997,0.040147596,0.023282397,0.041792003,0.101842939,0.020103878,0.026711587,0.031344002,0.031344002
Rhizosphere_Low N,Rhizosphere,0.015103917,0.009814884,0.006087713,0.007294606,0.016009087,0.005874732,0.002768756,0.011997941,0.011997941
Rhizosphere_Full N,Rhizosphere,0.05467107,0.027709319,0.016323278,0.028013275,0.042907137,0.014088788,0.012634727,0.016660095,0.016660095
Rhizosphere_Low N,Rhizosphere,0.093231655,0.051690735,0.020430846,0.02890575,0.088137451,0.025586798,0.027663072,0.026760009,0.026760009
Rhizosphere_Full N,Rhizosphere,0.088555884,0.040421876,0.024988069,0.038932901,0.113181254,0.020330247,0.028729598,0.033816932,0.033816932
Rhizosphere_Low N,Rhizosphere,0.034862525,0.024521203,0.016423422,0.026531041,0.063035324,0.011632527,0.01410977,0.021582398,0.021582398
Rhizosphere_Full N,Rhizosphere,0.021710576,0.014019046,0.012187729,0.014094824,0.023579782,0.012793958,0.006226477,0.009573366,0.009573366
Rhizosphere_Low N,Rhizosphere,0.063176128,0.015302544,0.01275212,0.01419736,0.035110837,0.013102803,0.008161357,0.010988077,0.010988077
Rhizosphere_Full N,Rhizosphere,0.029182636,0.015956514,0.0071391,0.012462113,0.021755467,0.013226122,0.006375091,0.007314446,0.007314446
Rhizosphere_Low N,Rhizosphere,0.011831202,0.009723619,0.007903434,0.011751369,0.024221232,0.006418547,0.0040076,0.006594179,0.006594179
Rhizosphere_Full N,Rhizosphere,0.013329581,0.009983504,0.006129262,0.009381523,0.016050222,0.00848246,0.003244443,0.007419221,0.007419221
Rhizosphere_Low N,Rhizosphere,0.040579863,0.024954588,0.015457736,0.027379504,0.048868667,0.024725323,0.012212758,0.012239211,0.012239211
Rhizosphere_Full N,Rhizosphere,0.028112285,0.010501007,0.005918376,0.008918663,0.017570178,0.006534873,0.004623731,0.011220254,0.011220254
Rhizosphere_Low N,Rhizosphere,0.060956494,0.039771273,0.019977607,0.035660589,0.083477287,0.021257198,0.025479846,0.036884197,0.036884197
Rhizosphere_Full N,Rhizosphere,0.009484529,0.00792007,0.003653366,0.007368954,0.012097885,0.008577854,0.003128917,0.013857901,0.013857901
Rhizosphere_Low N,Rhizosphere,0.025228756,0.0256574,0.009587627,0.017950557,0.038044334,0.027809367,0.012054517,0.020557412,0.020557412
Rhizosphere_Full N,Rhizosphere,0.037030725,0.017432368,0.013490707,0.022792367,0.052044221,0.017608286,0.009983343,0.020873762,0.020873762
Rhizosphere_Low N,Rhizosphere,0.043817548,0.039275811,0.019669013,0.030485637,0.065957409,0.046306172,0.018709115,0.035329565,0.035329565
Rhizosphere_Full N,Rhizosphere,0.139720696,0.036156182,0.023871532,0.036667224,0.075231197,0.012343616,0.021070632,0.017837312,0.017837312
Rhizosphere_Low N,Rhizosphere,0.110077447,0.053979088,0.035996447,0.051548159,0.142334003,0.017780063,0.025914325,0.037632649,0.037632649
Rhizosphere_Full N,Rhizosphere,0.105740489,0.051596467,0.027038043,0.033746603,0.107370924,0.030078125,0.026970109,0.031538723,0.031538723
Rhizosphere_Full N,Rhizosphere,0.102848293,0.025620977,0.023055083,0.032680979,0.072558606,0.011212498,0.021870825,0.017854974,0.017854974
Rhizosphere_Low N,Rhizosphere,0.072326751,0.030202124,0.025847615,0.028758383,0.06060218,0.015799646,0.019420641,0.037246181,0.037246181
Rhizosphere_Full N,Rhizosphere,0.115504771,0.030863672,0.011268462,0.015498693,0.059466359,0.027776089,0.016410381,0.014112928,0.014112928
Rhizosphere_Low N,Rhizosphere,0.087241916,0.046667024,0.018340752,0.026674532,0.065039953,0.016077653,0.019938864,0.013439159,0.013439159
Rhizosphere_Full N,Rhizosphere,0.082617033,0.033307987,0.016348188,0.019240942,0.052400159,0.009686591,0.00869479,0.010926342,0.010926342
Rhizosphere_Low N,Rhizosphere,0.126962532,0.057061988,0.021611309,0.028507537,0.093888785,0.01921874,0.026740477,0.015543879,0.015543879
Rhizosphere_Full N,Rhizosphere,0.067465314,0.024630955,0.01409025,0.018287345,0.041119545,0.036418798,0.010648631,0.02692137,0.02692137
Rhizosphere_Low N,Rhizosphere,0.030239238,0.018165062,0.010591218,0.016663392,0.031114043,0.016780344,0.007746934,0.018380255,0.018380255
Rhizosphere_Full N,Rhizosphere,0.096446023,0.037438919,0.018868312,0.032870694,0.072003449,0.018786187,0.027481214,0.036227569,0.036227569
Rhizosphere_Low N,Rhizosphere,0.145759783,0.007377367,0.003182211,0.004865487,0.009522426,0.004306878,0.003096557,0.006908135,0.006906273
Rhizosphere_Full N,Rhizosphere,0.038174274,0.030461655,0.019957636,0.029132693,0.047790384,0.015622552,0.012256623,0.029469286,0.029469286
Rhizosphere_Low N,Rhizosphere,0.075710795,0.019165642,0.004598769,0.008050484,0.021503731,0.003138563,0.0052585,0.004259227,0.004257468
Rhizosphere_Full N,Rhizosphere,0.070662028,0.020973195,0.00894301,0.014872348,0.027588573,0.012936737,0.008894007,0.018106532,0.018106532
Rhizosphere_Low N,Rhizosphere,0.106060606,0.052272727,0.018939394,0.053787879,0.10530303,0.020454545,0.020454545,0.015909091,0.015909091
Rhizosphere_Full N,Rhizosphere,0.097398793,0.030852715,0.021749956,0.03395776,0.058527154,0.019216123,0.013057297,0.027689085,0.027689085
Rhizosphere_Low N,Rhizosphere,0.162015297,0.036968498,0.014537092,0.025651174,0.04417821,0.008846339,0.017810344,0.009060277,0.009060277
Rhizosphere_Full N,Rhizosphere,0.028570961,0.017115565,0.015372086,0.021818048,0.042719337,0.006568743,0.006323182,0.021957199,0.021957199
Rhizosphere_Low N,Rhizosphere,0.041719306,0.014188257,0.012798585,0.013371946,0.03408097,0.007113564,0.006093176,0.01214748,0.01214748
Rhizosphere_Full N,Rhizosphere,0.067970255,0.038210597,0.015259729,0.024896937,0.065161445,0.01455385,0.021249896,0.004764683,0.004764683
Rhizosphere_Low N,Rhizosphere,0.0703125,0.057291667,0.044270833,0.036458333,0.052083333,0.028645833,0.010416667,0.013020833,0.013020833
Rhizosphere_Full N,Rhizosphere,0.054998213,0.023986134,0.018022649,0.029856592,0.037166512,0.014144916,0.009694335,0.013640614,0.013640614
Rhizosphere_Low N,Rhizosphere,0.100347054,0.060065997,0.038275538,0.041959434,0.140087617,0.019287116,0.028091486,0.03120644,0.03120644
Rhizosphere_Full N,Rhizosphere,0.126042896,0.037062662,0.018897616,0.027566372,0.072158235,0.025952003,0.034390135,0.02393065,0.02393065
Rhizosphere_Low N,Rhizosphere,0.039759316,0.021854782,0.015054973,0.019005222,0.032788289,0.023884941,0.008866658,0.032580381,0.032580381
Rhizosphere_Full N,Rhizosphere,0.07765512,0.030452988,0.031975638,0.035782261,0.100114199,0.023601066,0.014465169,0.038066235,0.038066235
Rhizosphere_Low N,Rhizosphere,0.211130099,0.013429096,0.009780262,0.016639146,0.04301814,0.009254876,0.008163689,0.017441659,0.017441659
Rhizosphere_Full N,Rhizosphere,0.082485856,0.033592494,0.020680759,0.03959136,0.103519489,0.026893663,0.02197656,0.054695545,0.054695545
Rhizosphere_Low N,Rhizosphere,0.01933727,0.024275685,0.016056096,0.023634441,0.043238202,0.030230099,0.007295197,0.026790696,0.026790696
Rhizosphere_Full N,Rhizosphere,0.065884047,0.024005758,0.019889906,0.027117991,0.05045467,0.020437335,0.010715408,0.030554626,0.030554626
Rhizosphere_Low N,Rhizosphere,0.114668738,0.059830177,0.029042133,0.043547816,0.118583581,0.022804535,0.03304927,0.029495916,0.029495916
Rhizosphere_Full N,Rhizosphere,0.073035656,0.041010079,0.032329034,0.038658285,0.116375853,0.012658502,0.026758426,0.038268126,0.038268126
Rhizosphere_Low N,Rhizosphere,0.011188142,0.007243605,0.002653598,0.005323133,0.010478923,0.001832815,0.002828911,0.005362977,0.005362977
Rhizosphere_Full N,Rhizosphere,0.066185469,0.03519467,0.024543353,0.038673345,0.098184744,0.019500974,0.016135612,0.017121425,0.017121425
Rhizosphere_Low N,Rhizosphere,0.06739931,0.044776992,0.038323493,0.05383761,0.150008768,0.021114164,0.028070381,0.043946922,0.043946922
Rhizosphere_Full N,Rhizosphere,0.107478613,0.04704259,0.0250023,0.034992181,0.104967344,0.020016558,0.019225462,0.030898721,0.030898721
Rhizosphere_Low N,Rhizosphere,0.06187103,0.038170638,0.027715696,0.043132947,0.081152064,0.018018359,0.022361958,0.019243153,0.019243153
Rhizosphere_Full N,Rhizosphere,0.070083359,0.036929727,0.013738808,0.024829601,0.055287719,0.021231624,0.017954259,0.016469946,0.016469946
Rhizosphere_Low N,Rhizosphere,0.093936125,0.058637778,0.019736122,0.039120511,0.091137895,0.017821132,0.033852335,0.012287202,0.012287202
Rhizosphere_Full N,Rhizosphere,0.103833095,0.028492612,0.018027316,0.027875304,0.085005209,0.02067981,0.033093484,0.00988657,0.00988657
Rhizosphere_Low N,Rhizosphere,0.066359861,0.031698283,0.018262431,0.02681558,0.055247503,0.020630823,0.017364463,0.013491974,0.013491974
Rhizosphere_Full N,Rhizosphere,0.084392205,0.030600871,0.025345358,0.035829365,0.094869457,0.025271051,0.019083325,0.036038775,0.036038775
Rhizosphere_Low N,Rhizosphere,0.052999733,0.039298117,0.024218607,0.037540599,0.091679204,0.028057028,0.017624397,0.024766953,0.024766953
Rhizosphere_Full N,Rhizosphere,0.067422401,0.031689942,0.018572963,0.027817041,0.049443094,0.021951151,0.015958048,0.033032736,0.033032736
Rhizosphere_Low N,Rhizosphere,0.07688125,0.038005621,0.02347305,0.02918534,0.07608565,0.01013674,0.015230867,0.026060179,0.026054456
Rhizosphere_Full N,Rhizosphere,0.046816811,0.020482355,0.01405391,0.026171898,0.047851274,0.012221434,0.009930839,0.023630076,0.023630076
Rhizosphere_Low N,Rhizosphere,0.102531316,0.049982897,0.027153817,0.044737828,0.10607418,0.028000847,0.032960857,0.021688847,0.021688847
Rhizosphere_Full N,Rhizosphere,0.08315011,0.033787135,0.016516016,0.029219505,0.076257949,0.012895966,0.02079493,0.026376767,0.026376767
Rhizosphere_Low N,Rhizosphere,0.040261536,0.027309401,0.00712764,0.014844529,0.023603934,0.015241139,0.011354365,0.009745263,0.009745263
Rhizosphere_Full N,Rhizosphere,0.020323167,0.007907847,0.004823787,0.008083577,0.01831106,0.006282345,0.004006643,0.006774389,0.006774389
Rhizosphere_Low N,Rhizosphere,0.070121994,0.051145177,0.031819008,0.043207893,0.121518704,0.020416148,0.031036458,0.034613826,0.034613826
Rhizosphere_Full N,Rhizosphere,0.087338262,0.051419929,0.021284938,0.032137456,0.101845628,0.024561698,0.026396124,0.040105304,0.040105304
Rhizosphere_Low N,Rhizosphere,0.077475741,0.065543803,0.0280928,0.038396828,0.122420583,0.017461371,0.032685504,0.033622234,0.033622234
Rhizosphere_Full N,Rhizosphere,0.144755618,0.0571776,0.021280292,0.027558909,0.097715626,0.013152833,0.027757442,0.021354742,0.021354742
Rhizosphere_Low N,Rhizosphere,0.089053164,0.06372887,0.019195904,0.028931107,0.102854808,0.023089985,0.034899903,0.022011133,0.022011133
Rhizosphere_Full N,Rhizosphere,0.121185884,0.048167831,0.016918453,0.025138831,0.078232917,0.024720846,0.030791585,0.036553811,0.036553811
Rhizosphere_Low N,Rhizosphere,0.047590319,0.026216201,0.014103157,0.018146062,0.057893458,0.032437261,0.014659448,0.045208452,0.045200617
Rhizosphere_Full N,Rhizosphere,0.085530902,0.046984303,0.018353807,0.028738672,0.083114979,0.037452823,0.020565398,0.027765091,0.027765091
Rhizosphere_Low N,Rhizosphere,0.04745208,0.052033661,0.028821879,0.047218326,0.101573944,0.042730248,0.018123734,0.038888889,0.038888889
Rhizosphere_Full N,Rhizosphere,0.038632145,0.028846154,0.01590053,0.021305345,0.044207567,0.03124147,0.010331932,0.031459846,0.031459846
Rhizosphere_Low N,Rhizosphere,0.069429935,0.052648916,0.03015501,0.043538414,0.112676587,0.02863973,0.026267988,0.044545463,0.044545463
Rhizosphere_Full N,Rhizosphere,0.112455576,0.040311389,0.023455745,0.031037401,0.113521746,0.012743273,0.017938738,0.073091894,0.073091894
Rhizosphere_Low N,Rhizosphere,0.097365443,0.060507028,0.031168364,0.042812873,0.117280621,0.042146566,0.039936119,0.022538101,0.022538101
Rhizosphere_Full N,Rhizosphere,0.070869806,0.04364875,0.027003208,0.041787143,0.114746306,0.01558601,0.021170832,0.06823583,0.06823583
Rhizosphere_Low N,Rhizosphere,0.027986694,0.02262318,0.014427249,0.02538328,0.046270851,0.015970013,0.012824221,0.014740623,0.014740623
Rhizosphere_Full N,Rhizosphere,0.038386271,0.028744543,0.017891013,0.023822068,0.051144061,0.018967334,0.010996538,0.024898389,0.024898389
Rhizosphere_Low N,Rhizosphere,0.020331348,0.014936095,0.01380616,0.016298004,0.041949774,0.006285731,0.008687779,0.011688467,0.011688467
Rhizosphere_Full N,Rhizosphere,0.064879165,0.045593886,0.022970164,0.035379092,0.0904214,0.026949,0.017532072,0.013427258,0.013427258
Rhizosphere_Low N,Rhizosphere,0.061160773,0.050052583,0.027261075,0.040111082,0.092809255,0.031533456,0.02325161,0.017089523,0.017089523
Rhizosphere_Full N,Rhizosphere,0.047334569,0.051679339,0.027186761,0.038495943,0.072721658,0.02537644,0.016963772,0.062498669,0.062498669
Rhizosphere_Full N,Rhizosphere,0.059230138,0.027258585,0.017066311,0.030454208,0.054187645,0.031450445,0.012238392,0.029182089,0.029182089
Rhizosphere_Low N,Rhizosphere,0.032391748,0.019651693,0.008498029,0.013382998,0.02158751,0.006401476,0.00722612,0.003249658,0.003249658
Rhizosphere_Full N,Rhizosphere,0.083915543,0.036538871,0.017604975,0.03713237,0.07318741,0.029513654,0.024681801,0.022907756,0.022894854
Rhizosphere_Low N,Rhizosphere,0.015097398,0.017821412,0.007199626,0.014748325,0.022814399,0.018058283,0.006757052,0.012279882,0.012273648
Rhizosphere_Full N,Rhizosphere,0.086113059,0.047525237,0.017774661,0.029171814,0.10392111,0.025766024,0.023974089,0.067581555,0.067581555
