SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Variety	Plate	Race	Race_info	Class	shannon_entropy	faith_pd
CC0122FE9Z0718176152	71817	RHZ	CentralCity	1	22	Full N	E9	PI229841	Energy	64	Kafir	Kafir	Tolerant	6.726092738	246.9004817
CC0802LG1Z0718175370	71817	RHZ	CentralCity	8	2	Low N	G1	BTx623	Grain	67	Kafir	Kafir	Sensitive	9.34866395	272.0358203
CC0802FG1Z0718175367	71817	RHZ	CentralCity	8	2	Full N	G1	BTx623	Grain	66	Kafir	Kafir	Sensitive	10.86292165	298.8632418
CC0702LG1Z0718177659	71817	RHZ	CentralCity	7	2	Low N	G1	BTx623	Grain	77	Kafir	Kafir	Sensitive	11.39079493	329.7001452
CC0702FG1Z0718177683	71817	RHZ	CentralCity	7	2	Full N	G1	BTx623	Grain	77	Kafir	Kafir	Sensitive	10.74020203	295.5025942
CC0501LG1Z0718175358	71817	RHZ	CentralCity	5	1	Low N	G1	BTx623	Grain	69	Kafir	Kafir	Sensitive	11.04230207	303.851141
CC0501FG1Z0718175355	71817	RHZ	CentralCity	5	1	Full N	G1	BTx623	Grain	66	Kafir	Kafir	Sensitive	8.959981112	269.0147922
CC0402LG1Z0718176240	71817	RHZ	CentralCity	4	2	Low N	G1	BTx623	Grain	67	Kafir	Kafir	Sensitive	8.755725175	279.2397961
CC0301LG1Z0718175352	71817	RHZ	CentralCity	3	1	Low N	G1	BTx623	Grain	63	Kafir	Kafir	Sensitive	7.443254821	226.2688415
CC0301FG1Z0718175349	71817	RHZ	CentralCity	3	1	Full N	G1	BTx623	Grain	63	Kafir	Kafir	Sensitive	9.083289762	260.3251367
CC0201LG1Z0718175343	71817	RHZ	CentralCity	2	1	Low N	G1	BTx623	Grain	64	Kafir	Kafir	Sensitive	7.036758414	226.1486504
CC0201FG1Z0718175346	71817	RHZ	CentralCity	2	1	Full N	G1	BTx623	Grain	66	Kafir	Kafir	Sensitive	7.418425899	252.5400357
CC0101LG1Z0718175337	71817	RHZ	CentralCity	1	1	Low N	G1	BTx623	Grain	65	Kafir	Kafir	Sensitive	8.788511837	280.0819511
CC0801LG3Z0718177727	71817	RHZ	CentralCity	8	1	Low N	G3	Btx642	Grain	70	Caudatum	Caudatum	Sensitive	9.12491067	283.5721999
CC0701FG3Z0718177682	71817	RHZ	CentralCity	7	1	Full N	G3	Btx642	Grain	75	Caudatum	Caudatum	Sensitive	10.6126965	313.2638175
CC0601LG3Z0718177637	71817	RHZ	CentralCity	6	1	Low N	G3	Btx642	Grain	72	Caudatum	Caudatum	Sensitive	11.30093704	351.8668834
CC0502LG3Z0718177595	71817	RHZ	CentralCity	5	2	Low N	G3	Btx642	Grain	74	Caudatum	Caudatum	Sensitive	10.95795973	321.8066706
CC0401LG3Z0718176239	71817	RHZ	CentralCity	4	1	Low N	G3	Btx642	Grain	65	Caudatum	Caudatum	Sensitive	10.49119644	304.2025909
CC0401FG3Z0718176263	71817	RHZ	CentralCity	4	1	Full N	G3	Btx642	Grain	69	Caudatum	Caudatum	Sensitive	7.601400736	255.041278
CC0302LG3Z0718176218	71817	RHZ	CentralCity	3	2	Low N	G3	Btx642	Grain	68	Caudatum	Caudatum	Sensitive	11.73918782	349.0053688
CC0202LG3Z0718176155	71817	RHZ	CentralCity	2	2	Low N	G3	Btx642	Grain	68	Caudatum	Caudatum	Sensitive	10.81302633	327.6479817
CC0202FG3Z0718176176	71817	RHZ	CentralCity	2	2	Full N	G3	Btx642	Grain	65	Caudatum	Caudatum	Sensitive	9.509184255	285.6447043
CC0102LG3Z0718176113	71817	RHZ	CentralCity	1	2	Low N	G3	Btx642	Grain	68	Caudatum	Caudatum	Sensitive	5.975274733	222.3829541
CC0806LS10Z0718177730	71817	RHZ	CentralCity	8	6	Low N	S10	China17	Sweet	77	Bicolor	Bicolor	Sensitive	11.52186092	359.123327
CC0703LS10Z0718177660	71817	RHZ	CentralCity	7	3	Low N	S10	China17	Sweet	77	Bicolor	Bicolor	Sensitive	11.47266971	350.0903798
CC0703FS10Z0718177684	71817	RHZ	CentralCity	7	3	Full N	S10	China17	Sweet	77	Bicolor	Bicolor	Sensitive	11.22491186	333.8093234
CC0606LS10Z0718177640	71817	RHZ	CentralCity	6	6	Low N	S10	China17	Sweet	70	Bicolor	Bicolor	Sensitive	7.772265506	277.7837013
CC0504LS10Z0718177597	71817	RHZ	CentralCity	5	4	Low N	S10	China17	Sweet	71	Bicolor	Bicolor	Sensitive	7.323579105	248.4757588
CC0504FS10Z0718176289	71817	RHZ	CentralCity	5	4	Full N	S10	China17	Sweet	65	Bicolor	Bicolor	Sensitive	10.2941409	301.3549912
CC0405FS10Z0718176267	71817	RHZ	CentralCity	4	5	Full N	S10	China17	Sweet	64	Bicolor	Bicolor	Sensitive	10.16861062	304.0804384
CC0304FS10Z0718176198	71817	RHZ	CentralCity	3	4	Full N	S10	China17	Sweet	67	Bicolor	Bicolor	Sensitive	10.76937687	314.7006893
CC0206LS10Z0718176158	71817	RHZ	CentralCity	2	6	Low N	S10	China17	Sweet	66	Bicolor	Bicolor	Sensitive	11.37037414	330.8510411
CC0206FS10Z0718176179	71817	RHZ	CentralCity	2	6	Full N	S10	China17	Sweet	69	Bicolor	Bicolor	Sensitive	8.602954156	270.388879
CC0103LS10Z0718176114	71817	RHZ	CentralCity	1	3	Low N	S10	China17	Sweet	69	Bicolor	Bicolor	Sensitive	10.90431261	319.6011722
CC0103FS10Z0718176135	71817	RHZ	CentralCity	1	3	Full N	S10	China17	Sweet	67	Bicolor	Bicolor	Sensitive	7.514469156	254.9769785
CC0803LS2Z0718177728	71817	RHZ	CentralCity	8	3	Low N	S2	SanChiSan	Sweet	78	Bicolor	Bicolor	Tolerant	10.0302517	302.7649474
CC0803FS2Z0718177707	71817	RHZ	CentralCity	8	3	Full N	S2	SanChiSan	Sweet	71	Bicolor	Bicolor	Tolerant	11.27074848	316.5142528
CC0706FS2Z0718177687	71817	RHZ	CentralCity	7	6	Full N	S2	SanChiSan	Sweet	71	Bicolor	Bicolor	Tolerant	11.41532356	336.2458898
CC0603LS2Z0718177638	71817	RHZ	CentralCity	6	3	Low N	S2	SanChiSan	Sweet	78	Bicolor	Bicolor	Tolerant	11.2476626	341.168733
CC0603FS2Z0718177617	71817	RHZ	CentralCity	6	3	Full N	S2	SanChiSan	Sweet	74	Bicolor	Bicolor	Tolerant	9.472019149	310.1295614
CC0503FS2Z0718176288	71817	RHZ	CentralCity	5	3	Full N	S2	SanChiSan	Sweet	63	Bicolor	Bicolor	Tolerant	10.76299593	309.8497826
CC0305LS2Z0718176220	71817	RHZ	CentralCity	3	5	Low N	S2	SanChiSan	Sweet	64	Bicolor	Bicolor	Tolerant	10.67854292	327.6587187
CC0305FS2Z0718178575	71817	RHZ	CentralCity	3	5	Full N	S2	SanChiSan	Sweet	91	Bicolor	Bicolor	Tolerant	11.03638041	306.9442833
CC0204LS2Z0718176157	71817	RHZ	CentralCity	2	4	Low N	S2	SanChiSan	Sweet	67	Bicolor	Bicolor	Tolerant	11.03109114	323.6741571
CC0204FS2Z0718176178	71817	RHZ	CentralCity	2	4	Full N	S2	SanChiSan	Sweet	63	Bicolor	Bicolor	Tolerant	11.38189047	333.240641
CC0105FS2Z0718176136	71817	RHZ	CentralCity	1	5	Full N	S2	SanChiSan	Sweet	63	Bicolor	Bicolor	Tolerant	10.01548229	284.6521791
CC0818FS3Z0718177721	71817	RHZ	CentralCity	8	18	Full N	S3	ICSV700	Sweet	70	Durra	Durra	Tolerant	10.1362352	286.0534569
CC0711FS3Z0718177692	71817	RHZ	CentralCity	7	11	Full N	S3	ICSV700	Sweet	76	Durra	Durra	Tolerant	10.68538797	300.1733709
CC0613LS3Z0718177646	71817	RHZ	CentralCity	6	13	Low N	S3	ICSV700	Sweet	77	Durra	Durra	Tolerant	10.69957447	350.3284238
CC0613FS3Z0718177625	71817	RHZ	CentralCity	6	13	Full N	S3	ICSV700	Sweet	71	Durra	Durra	Tolerant	9.118016313	255.2506813
CC0414LS3Z0718176252	71817	RHZ	CentralCity	4	14	Low N	S3	ICSV700	Sweet	68	Durra	Durra	Tolerant	6.209083854	227.5360459
CC0414FS3Z0718176276	71817	RHZ	CentralCity	4	14	Full N	S3	ICSV700	Sweet	63	Durra	Durra	Tolerant	9.886544812	284.3157923
CC0218FS3Z0718176191	71817	RHZ	CentralCity	2	18	Full N	S3	ICSV700	Sweet	69	Durra	Durra	Tolerant	10.40982749	285.0258059
CC0108LS3Z0718178574	71817	RHZ	CentralCity	1	8	Low N	S3	ICSV700	Sweet	96	Durra	Durra	Tolerant	9.362466201	293.8645261
CC0108FS3Z0718176139	71817	RHZ	CentralCity	1	8	Full N	S3	ICSV700	Sweet	64	Durra	Durra	Tolerant	5.650188348	200.2600612
CC0813LS4Z0718177737	71817	RHZ	CentralCity	8	13	Low N	S4	Atlas	Sweet	78	Kafir	Kafir	Sensitive	7.548379215	249.2693247
CC0813FS4Z0718177716	71817	RHZ	CentralCity	8	13	Full N	S4	Atlas	Sweet	70	Kafir	Kafir	Sensitive	11.31084171	311.778579
CC0719LS4Z0718177676	71817	RHZ	CentralCity	7	19	Low N	S4	Atlas	Sweet	71	Kafir	Kafir	Sensitive	11.3923209	340.7167884
CC0719FS4Z0718177700	71817	RHZ	CentralCity	7	19	Full N	S4	Atlas	Sweet	76	Kafir	Kafir	Sensitive	10.53166164	303.5579959
CC0622LS4Z0718177655	71817	RHZ	CentralCity	6	22	Low N	S4	Atlas	Sweet	76	Kafir	Kafir	Sensitive	11.28326323	350.8984074
CC0622FS4Z0718177634	71817	RHZ	CentralCity	6	22	Full N	S4	Atlas	Sweet	74	Kafir	Kafir	Sensitive	11.01260882	321.7048686
CC0515LS4Z0718177606	71817	RHZ	CentralCity	5	15	Low N	S4	Atlas	Sweet	78	Kafir	Kafir	Sensitive	5.461221716	208.1867752
CC0408LS4Z0718176246	71817	RHZ	CentralCity	4	8	Low N	S4	Atlas	Sweet	62	Kafir	Kafir	Sensitive	7.561627856	246.2079778
CC0408FS4Z0718176269	71817	RHZ	CentralCity	4	8	Full N	S4	Atlas	Sweet	69	Kafir	Kafir	Sensitive	7.747648024	240.2126037
CC0309LS4Z0718176224	71817	RHZ	CentralCity	3	9	Low N	S4	Atlas	Sweet	62	Kafir	Kafir	Sensitive	11.80046518	361.373982
CC0309FS4Z0718176203	71817	RHZ	CentralCity	3	9	Full N	S4	Atlas	Sweet	63	Kafir	Kafir	Sensitive	10.71781616	291.9427178
CC0207LS4Z0718176159	71817	RHZ	CentralCity	2	7	Low N	S4	Atlas	Sweet	67	Kafir	Kafir	Sensitive	7.147306512	243.7525562
CC0120LS4Z0718176129	71817	RHZ	CentralCity	1	20	Low N	S4	Atlas	Sweet	69	Kafir	Kafir	Sensitive	9.507716437	291.8238676
CC0120FS4Z0718176150	71817	RHZ	CentralCity	1	20	Full N	S4	Atlas	Sweet	68	Kafir	Kafir	Sensitive	10.23907734	301.4818236
CC0707LS5Z0718177664	71817	RHZ	CentralCity	7	7	Low N	S5	Leoti	Sweet	76	Kafir/bicolor	Intermediate	Tolerant	11.96047276	375.3112235
CC0707FS5Z0718177688	71817	RHZ	CentralCity	7	7	Full N	S5	Leoti	Sweet	78	Kafir/bicolor	Intermediate	Tolerant	11.22628216	324.013185
CC0614FS5Z0718177626	71817	RHZ	CentralCity	6	14	Full N	S5	Leoti	Sweet	70	Kafir/bicolor	Intermediate	Tolerant	10.53637508	306.2520432
CC0524LS5Z0718177615	71817	RHZ	CentralCity	5	24	Low N	S5	Leoti	Sweet	74	Kafir/bicolor	Intermediate	Tolerant	11.28000982	323.4534289
CC0524FS5Z0718177594	71817	RHZ	CentralCity	5	24	Full N	S5	Leoti	Sweet	78	Kafir/bicolor	Intermediate	Tolerant	6.935731056	211.6087892
CC0410FS5Z0718176272	71817	RHZ	CentralCity	4	10	Full N	S5	Leoti	Sweet	69	Kafir/bicolor	Intermediate	Tolerant	8.971498709	262.7631365
CC0312FS5Z0718176205	71817	RHZ	CentralCity	3	12	Full N	S5	Leoti	Sweet	66	Kafir/bicolor	Intermediate	Tolerant	11.04872363	309.8175857
CC0224LS5Z0718176175	71817	RHZ	CentralCity	2	24	Low N	S5	Leoti	Sweet	66	Kafir/bicolor	Intermediate	Tolerant	10.53769524	310.0299698
CC0224FS5Z0718176196	71817	RHZ	CentralCity	2	24	Full N	S5	Leoti	Sweet	65	Kafir/bicolor	Intermediate	Tolerant	7.529467666	249.7943239
CC0109LS5Z0718176119	71817	RHZ	CentralCity	1	9	Low N	S5	Leoti	Sweet	68	Kafir/bicolor	Intermediate	Tolerant	6.662999624	240.7951142
CC0812LS6Z0718177736	71817	RHZ	CentralCity	8	12	Low N	S6	ChineseAmber	Sweet	76	Bicolor	Bicolor	Sensitive	11.38849345	342.1846382
CC0721LS6Z0718177678	71817	RHZ	CentralCity	7	21	Low N	S6	ChineseAmber	Sweet	78	Bicolor	Bicolor	Sensitive	9.717170679	301.6208241
CC0721FS6Z0718177702	71817	RHZ	CentralCity	7	21	Full N	S6	ChineseAmber	Sweet	72	Bicolor	Bicolor	Sensitive	10.541952	291.3647248
CC0617LS6Z0718177650	71817	RHZ	CentralCity	6	17	Low N	S6	ChineseAmber	Sweet	75	Bicolor	Bicolor	Sensitive	11.35113066	348.5884654
CC0519LS6Z0718177610	71817	RHZ	CentralCity	5	19	Low N	S6	ChineseAmber	Sweet	70	Bicolor	Bicolor	Sensitive	11.67621212	325.9616937
CC0409LS6Z0718176247	71817	RHZ	CentralCity	4	9	Low N	S6	ChineseAmber	Sweet	64	Bicolor	Bicolor	Sensitive	6.45940044	210.8859748
CC0409FS6Z0718176271	71817	RHZ	CentralCity	4	9	Full N	S6	ChineseAmber	Sweet	69	Bicolor	Bicolor	Sensitive	8.810515107	252.2157368
CC0213LS6Z0718176165	71817	RHZ	CentralCity	2	13	Low N	S6	ChineseAmber	Sweet	66	Bicolor	Bicolor	Sensitive	11.01269226	318.2434667
CC0213FS6Z0718176186	71817	RHZ	CentralCity	2	13	Full N	S6	ChineseAmber	Sweet	69	Bicolor	Bicolor	Sensitive	9.878874417	282.5877889
CC0117LS6Z0718176126	71817	RHZ	CentralCity	1	17	Low N	S6	ChineseAmber	Sweet	64	Bicolor	Bicolor	Sensitive	11.44903248	335.1834948
CC0117FS6Z0718176147	71817	RHZ	CentralCity	1	17	Full N	S6	ChineseAmber	Sweet	67	Bicolor	Bicolor	Sensitive	11.07610635	311.0525412
CC0809LS8Z0718177733	71817	RHZ	CentralCity	8	9	Low N	S8	Rio	Sweet	75	Durra/caudatum	Intermediate	Tolerant	6.42692768	235.1009041
CC0718LS8Z0718177675	71817	RHZ	CentralCity	7	18	Low N	S8	Rio	Sweet	77	Durra/caudatum	Intermediate	Tolerant	11.73646264	358.7855299
CC0718FS8Z0718177699	71817	RHZ	CentralCity	7	18	Full N	S8	Rio	Sweet	72	Durra/caudatum	Intermediate	Tolerant	8.741999712	236.2638835
CC0607LS8Z0718177641	71817	RHZ	CentralCity	6	7	Low N	S8	Rio	Sweet	77	Durra/caudatum	Intermediate	Tolerant	6.748368162	252.1491009
CC0607FS8Z0718177620	71817	RHZ	CentralCity	6	7	Full N	S8	Rio	Sweet	71	Durra/caudatum	Intermediate	Tolerant	11.12318586	319.8977244
CC0523LS8Z0718177614	71817	RHZ	CentralCity	5	23	Low N	S8	Rio	Sweet	77	Durra/caudatum	Intermediate	Tolerant	11.27011053	330.1104377
CC0418LS8Z0718176255	71817	RHZ	CentralCity	4	18	Low N	S8	Rio	Sweet	63	Durra/caudatum	Intermediate	Tolerant	8.405340643	259.485867
CC0418FS8Z0718176280	71817	RHZ	CentralCity	4	18	Full N	S8	Rio	Sweet	62	Durra/caudatum	Intermediate	Tolerant	11.54742598	344.8634734
CC0314LS8Z0718176229	71817	RHZ	CentralCity	3	14	Low N	S8	Rio	Sweet	63	Durra/caudatum	Intermediate	Tolerant	11.80556307	350.2795108
CC0314FS8Z0718176207	71817	RHZ	CentralCity	3	14	Full N	S8	Rio	Sweet	67	Durra/caudatum	Intermediate	Tolerant	9.894024136	280.9459101
CC0211FS8Z0718176184	71817	RHZ	CentralCity	2	11	Full N	S8	Rio	Sweet	69	Durra/caudatum	Intermediate	Tolerant	9.443949473	278.9245904
CC0114FS8Z0718176144	71817	RHZ	CentralCity	1	14	Full N	S8	Rio	Sweet	64	Durra/caudatum	Intermediate	Tolerant	5.231102816	196.8163549
