#SampleID	SampleType	Location	Rep	GrowthCondtion	SampleType_GrowthCondtion
CC0820LE4Z0718177744	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0110FE5Z0718176141	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0110LE5Z0718176120	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0219FE5Z0718176192	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0219LE5Z0718176171	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0319FE5Z0718176212	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0319LE5Z0718176233	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0421FE5Z0718176283	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0421LE5Z0718176741	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0508FE5Z0718176292	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0508LE5Z0718177600	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0608FE5Z0718177621	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0608LE5Z0718177642	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0710FE5Z0718177691	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0710LE5Z0718177667	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0814FE5Z0718177717	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0814LE5Z0718177738	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0115FE6Z0718176145	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0115LE6Z0718176124	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0212FE6Z0718176185	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0212LE6Z0718176164	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0322FE6Z0718176215	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0413FE6Z0718176275	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0413LE6Z0718176251	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0514FE6Z0718177584	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0514LE6Z0718177605	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0620FE6Z0718177632	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0709FE6Z0718177690	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0709LE6Z0718177666	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0810FE6Z0718177713	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0810LE6Z0718177734	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0118FE7Z0718176148	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0118LE7Z0718176127	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0223LE7Z0718176174	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0320FE7Z0718176213	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0320LE7Z0718176234	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0411FE7Z0718176273	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0411LE7Z0718176249	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0511FE7Z0718176295	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0511LE7Z0718177603	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0618FE7Z0718177630	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0618LE7Z0718177651	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0724FE7Z0718177705	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0724LE7Z0718178592	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0817FE7Z0718177720	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0817LE7Z0718177741	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0107FE8Z0718176138	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0107LE8Z0718176117	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0217FE8Z0718176190	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0217LE8Z0718176169	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0316FE8Z0718176209	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0316LE8Z0718176230	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0419FE8Z0718176281	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0419LE8Z0718176257	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0521FE8Z0718177591	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0521LE8Z0718177612	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0616FE8Z0718177628	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0616LE8Z0718177649	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0723FE8Z0718177704	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0723LE8Z0718177680	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0811FE8Z0718177714	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0811LE8Z0718177735	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0122FE9Z0718176152	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0122LE9Z0718176131	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0208FE9Z0718176181	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0208LE9Z0718176160	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0308FE9Z0718176202	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0308LE9Z0718176223	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0417FE9Z0718176279	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0417LE9Z0718176256	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0510FE9Z0718176294	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0510LE9Z0718177602	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0611FE9Z0718177624	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0611LE9Z0718177645	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0720FE9Z0718177701	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0720LE9Z0718177677	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0807FE9Z0718177710	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0807LE9Z0718177731	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0101FG1Z0718175340	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0101LG1Z0718175337	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0201FG1Z0718175346	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0201LG1Z0718175343	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0301FG1Z0718175349	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0301LG1Z0718175352	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0402FG1Z0718176264	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0402LG1Z0718176240	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0501FG1Z0718175355	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0501LG1Z0718175358	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0602FG1Z0718175361	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0602LG1Z0718175364	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0702FG1Z0718177683	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0702LG1Z0718177659	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0802FG1Z0718175367	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0802LG1Z0718175370	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0102FG3Z0718176134	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0102LG3Z0718176113	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0202FG3Z0718176176	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0202LG3Z0718176155	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0302FG3Z0718176197	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0302LG3Z0718176218	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0401FG3Z0718176263	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0401LG3Z0718176239	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0502FG3Z0718176287	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0502LG3Z0718177595	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0601FG3Z0718177616	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0601LG3Z0718177637	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0701FG3Z0718177682	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0701LG3Z0718177658	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0801FG3Z0718177706	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0801LG3Z0718177727	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0103FS10Z0718176135	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0103LS10Z0718176114	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0206FS10Z0718176179	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0206LS10Z0718176158	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0304FS10Z0718176198	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0304LS10Z0718176219	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0405FS10Z0718176267	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0405LS10Z0718176243	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0504FS10Z0718176289	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0504LS10Z0718177597	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0606FS10Z0718177619	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0606LS10Z0718177640	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0703FS10Z0718177684	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0703LS10Z0718177660	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0806LS10Z0718177730	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0105FS2Z0718176136	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0105LS2Z0718176115	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0204FS2Z0718176178	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0204LS2Z0718176157	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0305FS2Z0718178575	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0305LS2Z0718176220	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0406FS2Z0718176268	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0406LS2Z0718176244	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0503FS2Z0718176288	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0503LS2Z0718177596	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0603FS2Z0718177617	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0603LS2Z0718177638	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0706FS2Z0718177687	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0706LS2Z0718177663	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0803FS2Z0718177707	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0803LS2Z0718177728	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0108FS3Z0718176139	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0108LS3Z0718178574	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0218FS3Z0718176191	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0218LS3Z0718176170	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0307FS3Z0718176201	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0307LS3Z0718176222	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0414FS3Z0718176276	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0414LS3Z0718176252	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0513FS3Z0718176296	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0513LS3Z0718177604	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0613FS3Z0718177625	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0613LS3Z0718177646	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0711FS3Z0718177692	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0711LS3Z0718177668	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0818FS3Z0718177721	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0818LS3Z0718177742	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0120FS4Z0718176150	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0120LS4Z0718176129	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0207FS4Z0718176180	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0207LS4Z0718176159	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0309FS4Z0718176203	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0309LS4Z0718176224	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0408FS4Z0718176269	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0408LS4Z0718176246	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0515FS4Z0718177585	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0515LS4Z0718177606	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0622FS4Z0718177634	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0622LS4Z0718177655	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0719FS4Z0718177700	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0719LS4Z0718177676	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0813FS4Z0718177716	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0813LS4Z0718177737	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0109FS5Z0718176140	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0109LS5Z0718176119	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0224FS5Z0718176196	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0224LS5Z0718176175	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0312FS5Z0718176205	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0312LS5Z0718176226	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0410FS5Z0718176272	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0410LS5Z0718176248	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0524FS5Z0718177594	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0524LS5Z0718177615	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0614FS5Z0718177626	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0614LS5Z0718177647	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0707FS5Z0718177688	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0707LS5Z0718177664	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0822FS5Z0718177724	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0822LS5Z0718177745	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0117FS6Z0718176147	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0117LS6Z0718176126	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0213FS6Z0718176186	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0213LS6Z0718176165	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0324FS6Z0718176217	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0324LS6Z0718176238	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0409FS6Z0718176271	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0409LS6Z0718176247	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0519FS6Z0718178591	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0519LS6Z0718177610	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0617FS6Z0718177629	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0617LS6Z0718177650	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0721FS6Z0718177702	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0721LS6Z0718177678	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0812FS6Z0718177715	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0812LS6Z0718177736	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0114FS8Z0718176144	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0114LS8Z0718176123	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0211FS8Z0718176184	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0211LS8Z0718176163	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0314FS8Z0718176207	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0314LS8Z0718176229	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0418FS8Z0718176280	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0418LS8Z0718176255	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0523FS8Z0718177593	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0523LS8Z0718177614	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0607FS8Z0718177620	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0607LS8Z0718177641	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0718FS8Z0718177699	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0718LS8Z0718177675	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0809FS8Z0718177712	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0809LS8Z0718177733	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0119FE1R0718176948	Root	CentralCity	1	Full N	4Root_Full N
CC0119LE1R0718176927	Root	CentralCity	1	Low N	4Root_Low N
CC0209FE1R0718176981	Root	CentralCity	2	Full N	4Root_Full N
CC0209LE1R0718176960	Root	CentralCity	2	Low N	4Root_Low N
CC0321FE1R0718177013	Root	CentralCity	3	Full N	4Root_Full N
CC0321LE1R0718177034	Root	CentralCity	3	Low N	4Root_Low N
CC0415FE1R0718177076	Root	CentralCity	4	Full N	4Root_Full N
CC0415LE1R0718177052	Root	CentralCity	4	Low N	4Root_Low N
CC0517FE1R0718177099	Root	CentralCity	5	Full N	4Root_Full N
CC0517LE1R0718177120	Root	CentralCity	5	Low N	4Root_Low N
CC0615FE1R0718177139	Root	CentralCity	6	Full N	4Root_Full N
CC0615LE1R0718177160	Root	CentralCity	6	Low N	4Root_Low N
CC0716FE1R0718177209	Root	CentralCity	7	Full N	4Root_Full N
CC0716LE1R0718177185	Root	CentralCity	7	Low N	4Root_Low N
CC0815FE1R0718177230	Root	CentralCity	8	Full N	4Root_Full N
CC0815LE1R0718177251	Root	CentralCity	8	Low N	4Root_Low N
CC0106FE10R0718176936	Root	CentralCity	1	Full N	4Root_Full N
CC0106LE10R0718176915	Root	CentralCity	1	Low N	4Root_Low N
CC0203FE10R0718176976	Root	CentralCity	2	Full N	4Root_Full N
CC0203LE10R0718176955	Root	CentralCity	2	Low N	4Root_Low N
CC0306FE10R0718176999	Root	CentralCity	3	Full N	4Root_Full N
CC0306LE10R0718177020	Root	CentralCity	3	Low N	4Root_Low N
CC0404FE10R0718177065	Root	CentralCity	4	Full N	4Root_Full N
CC0404LE10R0718177041	Root	CentralCity	4	Low N	4Root_Low N
CC0506FE10R0718177089	Root	CentralCity	5	Full N	4Root_Full N
CC0506LE10R0718177110	Root	CentralCity	5	Low N	4Root_Low N
CC0604FE10R0718177130	Root	CentralCity	6	Full N	4Root_Full N
CC0704FE10R0718177197	Root	CentralCity	7	Full N	4Root_Full N
CC0704LE10R0718177173	Root	CentralCity	7	Low N	4Root_Low N
CC0805FE10R0718177220	Root	CentralCity	8	Full N	4Root_Full N
CC0805LE10R0718177241	Root	CentralCity	8	Low N	4Root_Low N
CC0121FE11R0718176950	Root	CentralCity	1	Full N	4Root_Full N
CC0121LE11R0718176929	Root	CentralCity	1	Low N	4Root_Low N
CC0222FE11R0718176993	Root	CentralCity	2	Full N	4Root_Full N
CC0222LE11R0718176972	Root	CentralCity	2	Low N	4Root_Low N
CC0313FE11R0718177005	Root	CentralCity	3	Full N	4Root_Full N
CC0313LE11R0718177026	Root	CentralCity	3	Low N	4Root_Low N
CC0424FE11R0718177085	Root	CentralCity	4	Full N	4Root_Full N
CC0424LE11R0718177061	Root	CentralCity	4	Low N	4Root_Low N
CC0516FE11R0718177098	Root	CentralCity	5	Full N	4Root_Full N
CC0516LE11R0718177119	Root	CentralCity	5	Low N	4Root_Low N
CC0619FE11R0718177143	Root	CentralCity	6	Full N	4Root_Full N
CC0619LE11R0718177164	Root	CentralCity	6	Low N	4Root_Low N
CC0715FE11R0718177208	Root	CentralCity	7	Full N	4Root_Full N
CC0715LE11R0718177184	Root	CentralCity	7	Low N	4Root_Low N
CC0819FE11R0718177234	Root	CentralCity	8	Full N	4Root_Full N
CC0819LE11R0718177255	Root	CentralCity	8	Low N	4Root_Low N
CC0123FE13R0718176952	Root	CentralCity	1	Full N	4Root_Full N
CC0123LE13R0718176931	Root	CentralCity	1	Low N	4Root_Low N
CC0221FE13R0718176992	Root	CentralCity	2	Full N	4Root_Full N
CC0221LE13R0718176971	Root	CentralCity	2	Low N	4Root_Low N
CC0310FE13R0718177003	Root	CentralCity	3	Full N	4Root_Full N
CC0310LE13R0718177024	Root	CentralCity	3	Low N	4Root_Low N
CC0420FE13R0718177081	Root	CentralCity	4	Full N	4Root_Full N
CC0420LE13R0718177057	Root	CentralCity	4	Low N	4Root_Low N
CC0520FE13R0718177102	Root	CentralCity	5	Full N	4Root_Full N
CC0520LE13R0718177123	Root	CentralCity	5	Low N	4Root_Low N
CC0621FE13R0718177145	Root	CentralCity	6	Full N	4Root_Full N
CC0621LE13R0718177166	Root	CentralCity	6	Low N	4Root_Low N
CC0712FE13R0718177205	Root	CentralCity	7	Full N	4Root_Full N
CC0712LE13R0718177181	Root	CentralCity	7	Low N	4Root_Low N
CC0823FE13R0718177237	Root	CentralCity	8	Full N	4Root_Full N
CC0823LE13R0718177258	Root	CentralCity	8	Low N	4Root_Low N
CC0113FE14R0718175894	Root	CentralCity	1	Full N	4Root_Full N
CC0113LE14R0718175891	Root	CentralCity	1	Low N	4Root_Low N
CC0220FE14R0718175900	Root	CentralCity	2	Full N	4Root_Full N
CC0220LE14R0718175897	Root	CentralCity	2	Low N	4Root_Low N
CC0311FE14R0718175903	Root	CentralCity	3	Full N	4Root_Full N
CC0311LE14R0718175906	Root	CentralCity	3	Low N	4Root_Low N
CC0422FE14R0718177083	Root	CentralCity	4	Full N	4Root_Full N
CC0422LE14R0718177059	Root	CentralCity	4	Low N	4Root_Low N
CC0512FE14R0718175909	Root	CentralCity	5	Full N	4Root_Full N
CC0512LE14R0718175912	Root	CentralCity	5	Low N	4Root_Low N
CC0612FE14R0718175915	Root	CentralCity	6	Full N	4Root_Full N
CC0612LE14R0718175918	Root	CentralCity	6	Low N	4Root_Low N
CC0722FE14R0718177215	Root	CentralCity	7	Full N	4Root_Full N
CC0722LE14R0718177191	Root	CentralCity	7	Low N	4Root_Low N
CC0821FE14R0718175921	Root	CentralCity	8	Full N	4Root_Full N
CC0821LE14R0718175924	Root	CentralCity	8	Low N	4Root_Low N
CC0111FE15R0718176941	Root	CentralCity	1	Full N	4Root_Full N
CC0111LE15R0718176920	Root	CentralCity	1	Low N	4Root_Low N
CC0210FE15R0718176982	Root	CentralCity	2	Full N	4Root_Full N
CC0210LE15R0718176961	Root	CentralCity	2	Low N	4Root_Low N
CC0317FE15R0718177009	Root	CentralCity	3	Full N	4Root_Full N
CC0317LE15R0718177030	Root	CentralCity	3	Low N	4Root_Low N
CC0412FE15R0718177073	Root	CentralCity	4	Full N	4Root_Full N
CC0412LE15R0718177049	Root	CentralCity	4	Low N	4Root_Low N
CC0507FE15R0718177090	Root	CentralCity	5	Full N	4Root_Full N
CC0507LE15R0718177111	Root	CentralCity	5	Low N	4Root_Low N
CC0609FE15R0718177134	Root	CentralCity	6	Full N	4Root_Full N
CC0609LE15R0718177155	Root	CentralCity	6	Low N	4Root_Low N
CC0717FE15R0718177210	Root	CentralCity	7	Full N	4Root_Full N
CC0717LE15R0718177186	Root	CentralCity	7	Low N	4Root_Low N
CC0816FE15R0718177231	Root	CentralCity	8	Full N	4Root_Full N
CC0816LE15R0718177252	Root	CentralCity	8	Low N	4Root_Low N
CC0104FE17R0718175893	Root	CentralCity	1	Full N	4Root_Full N
CC0104LE17R0718175890	Root	CentralCity	1	Low N	4Root_Low N
CC0205FE17R0718175899	Root	CentralCity	2	Full N	4Root_Full N
CC0205LE17R0718175896	Root	CentralCity	2	Low N	4Root_Low N
CC0303FE17R0718175902	Root	CentralCity	3	Full N	4Root_Full N
CC0303LE17R0718175905	Root	CentralCity	3	Low N	4Root_Low N
CC0403FE17R0718177064	Root	CentralCity	4	Full N	4Root_Full N
CC0403LE17R0718177040	Root	CentralCity	4	Low N	4Root_Low N
CC0505FE17R0718175907	Root	CentralCity	5	Full N	4Root_Full N
CC0505LE17R0718175911	Root	CentralCity	5	Low N	4Root_Low N
CC0605FE17R0718175914	Root	CentralCity	6	Full N	4Root_Full N
CC0605LE17R0718175917	Root	CentralCity	6	Low N	4Root_Low N
CC0705FE17R0718177198	Root	CentralCity	7	Full N	4Root_Full N
CC0705LE17R0718177174	Root	CentralCity	7	Low N	4Root_Low N
CC0804FE17R0718175920	Root	CentralCity	8	Full N	4Root_Full N
CC0804LE17R0718178090	Root	CentralCity	8	Low N	4Root_Low N
CC0124FE18R0718176953	Root	CentralCity	1	Full N	4Root_Full N
CC0124LE18R0718176932	Root	CentralCity	1	Low N	4Root_Low N
CC0215LE18R0718176966	Root	CentralCity	2	Low N	4Root_Low N
CC0318FE18R0718177010	Root	CentralCity	3	Full N	4Root_Full N
CC0318LE18R0718177031	Root	CentralCity	3	Low N	4Root_Low N
CC0407FE18R0718177068	Root	CentralCity	4	Full N	4Root_Full N
CC0407LE18R0718177044	Root	CentralCity	4	Low N	4Root_Low N
CC0522FE18R0718177104	Root	CentralCity	5	Full N	4Root_Full N
CC0522LE18R0718177125	Root	CentralCity	5	Low N	4Root_Low N
CC0623FE18R0718177147	Root	CentralCity	6	Full N	4Root_Full N
CC0623LE18R0718177168	Root	CentralCity	6	Low N	4Root_Low N
CC0713FE18R0718177206	Root	CentralCity	7	Full N	4Root_Full N
CC0713LE18R0718177182	Root	CentralCity	7	Low N	4Root_Low N
CC0808FE18R0718177223	Root	CentralCity	8	Full N	4Root_Full N
CC0808LE18R0718177244	Root	CentralCity	8	Low N	4Root_Low N
CC0116FE3R0718178584	Root	CentralCity	1	Full N	4Root_Full N
CC0116LE3R0718176924	Root	CentralCity	1	Low N	4Root_Low N
CC0214FE3R0718176986	Root	CentralCity	2	Full N	4Root_Full N
CC0214LE3R0718176965	Root	CentralCity	2	Low N	4Root_Low N
CC0323FE3R0718177015	Root	CentralCity	3	Full N	4Root_Full N
CC0323LE3R0718177036	Root	CentralCity	3	Low N	4Root_Low N
CC0423FE3R0718177084	Root	CentralCity	4	Full N	4Root_Full N
CC0423LE3R0718177060	Root	CentralCity	4	Low N	4Root_Low N
CC0518FE3R0718177100	Root	CentralCity	5	Full N	4Root_Full N
CC0518LE3R0718177121	Root	CentralCity	5	Low N	4Root_Low N
